Fish Name,Thai Fish Name,Scientific Name,Order Name,General Description,Physical Description,habitat,Avg Length,Avg Age,Avg DepthLevel,Avg Weight
Brownbanded bamboo shark,ปลาฉลามกบ,Chiloscyllium punctatum,Orectolobiformes,"A small nocturnal shark found in Indo-West Pacific coral reefs and tide pools. Adults are brownish while juveniles display distinct dark bands. Classified as Near Threatened, commonly bred in aquariums due to docile nature.","body_shape: elongated; primary_colors: pale brown to tan overall body; secondary_colors: creamy white on ventral surface; markings: dark brown transverse bands encircling the body from head to tail, with scattered dark brown spots interspersed between and within the bands; dorsal_fin: two dorsal fins of similar size, plain pale brown matching body coloration, rounded apex; caudal_fin: elongated and asymmetrical with a poorly developed lower lobe, pale brown with subtle darker edges; unique_features: distinctive wide dark brown saddle-like bands that fully encircle the body, more prominent in juveniles and fading with age in adults, nasal barbels visible on the snout",Coral reefs and tide pools in Indo-West Pacific from Japan to northern Australia,104 cm,25 years,85 m,2.5 kg
Whale shark,ปลาฉลามวาฬ,Rhincodon typus,Orectolobiformes,"The world's largest fish species, reaching up to 18.8m. A gentle filter-feeder that feeds on plankton and small fish in tropical oceans. Classified as Endangered, known for distinctive white spotted pattern on dark grey skin.","body_shape: fusiform; primary_colors: dark gray to blue-gray on dorsal surface; secondary_colors: white to pale cream on ventral surface; markings: white or pale yellow spots covering the entire dorsal and lateral surfaces, with vertical pale yellow stripes forming a checkerboard-like grid pattern across the back and sides; dorsal_fin: large triangular first dorsal fin, uniform dark gray matching body coloration; caudal_fin: large lunate with an elongated upper lobe significantly longer than lower lobe, dark gray coloration; unique_features: broad flattened head with a very wide terminal mouth at the front of the snout, three prominent ridges running along each side of the body","Open waters of tropical and warm-temperate seas, primarily pelagic in coastal and oceanic habitats",1200 cm,100 years,1900 m,15000 kg
Zebra shark,ปลาฉลามลายเสือดาว,Stegostoma fasciatum,Orectolobiformes,A distinctive carpet shark with dark spots on pale background in adults and vertical stripes in juveniles. Nocturnal bottom-dweller that feeds on molluscs and crustaceans. Classified as Endangered due to commercial fishing pressure.,"body_shape: dorsoventrally flattened; primary_colors: pale yellowish-brown to tan; secondary_colors: cream to white on the ventral surface; markings: dark brown spots scattered across the entire dorsal surface of the body, fins, and tail in adults, juveniles display bold yellowish vertical stripes and white spots on a dark brown body; dorsal_fin: two dorsal fins, first dorsal fin large and prominent positioned forward, second dorsal fin notably smaller, both pale tan with dark spots matching body pattern; caudal_fin: extremely elongated asymmetrical heterocercal tail nearly as long as the rest of the body, tan with dark spots and pale edges; unique_features: five prominent longitudinal ridges running along the length of the body, short rounded snout, small barbels visible at the nostrils, and the exceptionally long caudal fin serving as the most diagnostic visible marker",Coral reefs and sandy flats in tropical Indo-Pacific from intertidal zone to 62m depth,250 cm,27 years,62 m,35 kg
Coral catshark,ปลาฉลามลายหินอ่อน,Atelomycterus marmoratus,Carcharhiniformes,A small nocturnal catshark with extremely slender body inhabiting shallow coral reefs. Features distinctive black and white spotted pattern forming horizontal bars. Classified as Near Threatened due to fishing pressure and habitat degradation.,"body_shape: elongated; primary_colors: pale brown to grayish brown across the dorsal surface; secondary_colors: whitish to cream on the ventral surface; markings: numerous small dark brown to blackish spots scattered densely across the entire dorsal surface and flanks, with some spots clustering near the fins; dorsal_fin: two small dorsal fins of similar size positioned far back on the body toward the tail, brownish with spotted patterning matching the body; caudal_fin: elongated and asymmetrical with a poorly defined lower lobe, brownish with dark spots continuing from the body; unique_features: densely spotted pattern covering the entire dorsal body and fins with no large saddle markings, two posteriorly placed dorsal fins of nearly equal size, and a relatively slender elongated body with a somewhat flattened head",Shallow coral reefs in Indo-West Pacific from Pakistan to New Guinea at depths not exceeding 15m,70 cm,20 years,15 m,1.5 kg
Blacktip reef shark,ปลาฉลามครีบดำ,Carcharhinus melanopterus,Carcharhiniformes,A fast-swimming requiem shark easily identified by prominent black tips on fins. Common in shallow tropical coral reefs across Indo-Pacific. Active predator with small home ranges and strong site fidelity. Classified as Near Threatened.,"body_shape: fusiform; primary_colors: grey-brown to bronze on the dorsal surface, fading to white on the ventral surface; secondary_colors: white underside with a pale to white lateral stripe along the flank; markings: distinct black tips on all fins, with a white lateral band running along the mid-flank from pectoral fin region toward the tail; dorsal_fin: tall, erect, triangular, with a prominent black tip and a white patch below the black marking on the trailing edge; caudal_fin: heterocercal, upper lobe longer than lower, with a prominent black tip on the upper lobe and a black tip on the lower lobe; unique_features: conspicuous black fin tips on dorsal, pectoral, pelvic, anal, and caudal fins, white sub-marginal stripe on the first dorsal fin below the black tip, and a pale lateral stripe along the side of the body","Shallow inshore waters of tropical coral reefs in Indo-Pacific, typically only few meters deep with dorsal fin often exposed",160 cm,15 years,75 m,13.6 kg
Whitetip reef shark,ปลาฉลามครีบขาว,Triaenodon obesus,Carcharhiniformes,A small requiem shark with distinctive white-tipped dorsal and caudal fins. Rests in caves during day and hunts at night. Highly localized with strong site fidelity. Classified as Near Threatened due to overfishing pressure.,"body_shape: slender, elongated, somewhat compressed; primary_colors: grey to grey-brown on dorsal surface and flanks; secondary_colors: white to pale grey on ventral surface; markings: generally uniform grey with gradual transition to paler underside, often with scattered small dark spots on the flanks; dorsal_fin: first dorsal fin moderately tall and triangular set well back, with a conspicuous white tip; small second dorsal fin sometimes white-tipped; caudal_fin: heterocercal with longer upper lobe bearing a white tip and a notch near the trailing edge; unique_features: bright white tips on the first dorsal fin and upper caudal lobe, broad slightly flattened head with a short blunt rounded snout, oval eyes with nictitating membranes, and prominent nasal flaps","Coral reef habitats in Indo-Pacific, around coral heads and ledges with high vertical relief, clear water at 8-40m depth",160 cm,16 years,40 m,18.3 kg
Leopard shark,ปลาฉลามลายเสือดาว,Triakis semifasciata,Carcharhiniformes,A houndshark found along Pacific coast of North America with distinctive black saddle-like markings and spots. Forms large schools in bays and estuaries. Active predator foraging on mudflats. Classified as Least Concern.,"body_shape: fusiform; primary_colors: gray to bronze-brown on the dorsal surface; secondary_colors: pale white to cream on the ventral surface; markings: large dark brown to black saddle-shaped blotches running across the top of the body from behind the head to the base of the tail, with smaller dark spots scattered between the saddles along the flanks and dorsal surface; dorsal_fin: two dorsal fins, first dorsal fin triangular and moderately tall, patterned with the same dark blotches and spots as the body; caudal_fin: heterocercal, elongated upper lobe significantly longer than lower lobe, grayish-brown with darker blotching consistent with body pattern; unique_features: strongly contrasting dark saddle blotches alternating with intervening dark spots across the entire dorsal surface creating a distinctive leopard-like pattern, broadly rounded snout visible in lateral view","Muddy or sandy flats in enclosed bays and estuaries along Pacific coast from Oregon to Mexico, most abundant intertidal to 4m depth",135 cm,30 years,91 m,18.4 kg
Spotted eagle ray,ปลากระเบนค้างคาว,Aetobatus narinari,Myliobatiformes,A large cartilaginous ray with distinctive flat disk-shaped body and long whip-like tail. Features dark dorsal surface with white spots and venomous stingers. Known for spectacular leaping behavior. Classified as Near Threatened.,"body_shape: dorsoventrally flattened; primary_colors: dark brown to black on dorsal surface with white to cream ventral surface; secondary_colors: white spots and rings scattered across the dark dorsal surface; markings: numerous white spots and ocelli covering the entire dark dorsal surface of the disc and tail base; dorsal_fin: small, short, dark brown fin located at the base of the long whip-like tail; caudal_fin: not typically visible due to the extremely elongated whip-like tail that lacks a conventional caudal fin; unique_features: distinctly elongated duck-bill shaped snout projecting well forward of the disc, very long thin whip-like tail extending far beyond the disc, and pointed wing-like pectoral fins forming a distinctive diamond-shaped disc","Shallow coastal waters by coral reefs and bays in tropical Atlantic Ocean, swimming freely in open waters often near surface",500 cm,25 years,80 m,230 kg
Manta ray,ปลากระเบนราหู,Manta birostris,Myliobatiformes,The largest ray species with triangular pectoral fins and distinctive horn-shaped cephalic fins. Filter-feeder consuming zooplankton and deep-sea organisms. Known for breaching behavior and intelligence. Classified as Vulnerable to extinction.,"body_shape: dorsoventrally flattened; primary_colors: dark black to dark grey on dorsal surface, white to off-white on ventral surface; secondary_colors: white shoulder patches on dorsal surface near the head, grey shading on ventral surface toward the margins; markings: white triangular shoulder patches located on the upper dorsal surface flanking the head, dark blotchy patches of variable pattern on the white ventral surface toward the rear; dorsal_fin: small, low, triangular fin located at the base of the tail, uniform dark coloration matching dorsal body; caudal_fin: slender whip-like tail with no distinct fin lobe, uniform dark coloration, no fork or broad shape; unique_features: two prominent forward-projecting cephalic fins flanking the mouth forming horn-like lobes, very wide diamond-shaped pectoral disc spanning the full body width, terminal wide rectangular mouth positioned at the front of the head on the ventral side","Tropical and subtropical waters worldwide, pelagic species migrating across open oceans, surface waters during day and deeper at night",700 cm,50 years,1000 m,1350 kg
Kuhl's maskray,กระเบนจุดฟ้า,Neotrygon kuhlii,Myliobatiformes,A distinctive stingray with rhomboidal body and bright coloration serving as warning for venomous spines. Dark green with blue spots and white underbelly. Popular in aquaria. Rarely buries in sand unlike most stingrays.,"body_shape: dorsoventrally flattened, rhomboidal disc slightly wider than long; primary_colors: pale greyish-brown to yellowish-brown on dorsal surface, white on ventral surface; secondary_colors: pale cream to white on ventral margins; markings: dark mask-like marking across the eyes and spiracles on the dorsal disc, sometimes scattered small spots, darker disc edges; dorsal_fin: not typically visible; caudal_fin: not typically visible; unique_features: distinctive dark mask-like marking surrounding both eyes and spiracles on the dorsal disc, angular rhomboidal disc, long whip-like tail with one or two serrated spines and bold black-and-white banding toward the tip","Sand and mudflats, rocky coral reefs, and seagrass beds in tropical Indo-Pacific waters from Indonesia to Japan and northern Australia, depths 0-90m",47 cm,11 years,90 m,2 kg
