S3 Image Path,Expected Species (Folder Name),AI Generated Caption,Top Candidate (Elasticsearch Result),Top Candidate Score,Expected Species In Top 5 Candidates,All Top 5 Candidates
fish-image/Argus-grouper/argus-grouper-001.png,Argus grouper,## Image Description  The image depicts a fish swimming near coral reefs.  ### Key Features:  * **Fi...,Latticed butterflyfish,0.7804,FALSE,R1: Latticed butterflyfish (0.7804); R2: Spot-fin porcupinefish (0.7803); R3: Pennant coralfish (0.7675); R4: Coral catshark (0.7634); R5: False stonefish (0.7596)
fish-image/Bigeye-snapper/bigeye-snapper-001.png,Bigeye snapper,"### Description of the Image  The image presents a close-up view of a fish swimming underwater, show...",Yellow boxfish,0.7502,FALSE,R1: Yellow boxfish (0.7502); R2: Pennant coralfish (0.7477); R3: Spot-fin porcupinefish (0.7475); R4: Trumpetfish (0.7407); R5: Blue ring angelfish (0.7406)
fish-image/Bigeye-trevally/bigeye-trevally-001.png,Bigeye trevally,### Image Description The image captures a school of fish swimming together underwater.   #### Key F...,Bluefin trevally,0.7332,FALSE,R1: Bluefin trevally (0.7332); R2: Schooling bannerfish (0.7059); R3: Blueface angelfish (0.6852); R4: Eastern triangle butterflyfish (0.6830); R5: Pennant coralfish (0.6795)
fish-image/Black-sided-hawkfish/black-sided-hawkfish-001.png,Black sided hawkfish,### Image Description The image presents a close-up view of a fish situated on top of coral reefs.  ...,White-spotted puffer,0.7653,FALSE,R1: White-spotted puffer (0.7653); R2: Pennant coralfish (0.7468); R3: Latticed butterflyfish (0.7459); R4: Spot-fin porcupinefish (0.7418); R5: Blackspotted puffer (0.7368)
fish-image/Blackfin-barracuda/blackfin-barracuda-001.png,Blackfin barracuda,### Image Description  The image depicts a **barracuda** swimming in the ocean.   #### Key Features:...,Great barracuda,0.8104,TRUE,R1: Great barracuda (0.8104); R2: Blackfin barracuda (0.7832); R3: Yellowtail barracuda (0.7797); R4: Pickhandle barracuda (0.7782); R5: Blueface angelfish (0.7327)
fish-image/Blackspotted-puffer/blackspotted-puffer-001.png,Blackspotted puffer,"### Image Description   The image depicts a round, white pufferfish with small black spots on its bo...",White-spotted puffer,0.8321,TRUE,R1: White-spotted puffer (0.8321); R2: Blackspotted puffer (0.8030); R3: Stellate puffer (0.7848); R4: Yellow boxfish (0.7797); R5: Spot-fin porcupinefish (0.7792)
fish-image/Blacktip-reef-shark/blacktip-reef-shark-001.png,Blacktip reef shark,## Image Description The image depicts two sharks swimming underwater alongside another fish.  ### K...,Blacktip reef shark,0.7363,TRUE,R1: Blacktip reef shark (0.7363); R2: Whitetip reef shark (0.7189); R3: Zebra shark (0.7105); R4: Whale shark (0.7094); R5: Coral catshark (0.7026)
fish-image/Blue-ring-angelfish/blue-ring-angelfish-001.png,Blue ring angelfish,### Image Description The image depicts an orange fish with blue stripes swimming underwater.  #### ...,Blue triggerfish,0.6882,FALSE,R1: Blue triggerfish (0.6882); R2: Ocellaris clownfish (0.6872); R3: Orange-lined triggerfish (0.6861); R4: Clearfin lionfish (0.6813); R5: Red lionfish (0.6790)
fish-image/Blue-triggerfish/blue-triggerfish-001.png,Blue triggerfish,### Image Description  The image depicts a vibrant fish swimming near coral formations underwater.  ...,Pennant coralfish,0.7715,FALSE,R1: Pennant coralfish (0.7715); R2: Clark's anemonefish (0.7700); R3: Honeycomb grouper (0.7599); R4: Coral hind (0.7514); R5: Ocellaris clownfish (0.7508)
fish-image/Blueface-angelfish/blueface-angelfish-001.png,Blueface angelfish,### Image Description The image presents a vibrant underwater scene featuring a prominent fish at it...,Ocellaris clownfish,0.7763,TRUE,R1: Ocellaris clownfish (0.7763); R2: Pink skunk clownfish (0.7671); R3: Blue triggerfish (0.7651); R4: Blue ring angelfish (0.7612); R5: Blueface angelfish (0.7582)
