Fish Name,Physical Description
Argus grouper,Dark brown to purplish body covered in bright blue spots with black rings; vertical bars often visible on rear body.
Bigeye snapper,Pinkish-red to silvery body; large eyes; yellow fins; faint yellow stripes often visible on sides.
Bigeye trevally,Silvery body with a steep head profile; large eyes; small black spot on the upper gill cover; tips of dorsal fins often white.
Black-sided hawkfish,Reddish-brown head and anterior body; posterior body dark brown to black; distinct freckles on face; often perches on coral.
Blackfin barracuda,"Silver, cylindrical body with distinct dark vertical bars (chevrons) on the side; dorsal and anal fins are black with white tips."
Blackspotted puffer,Pale or yellowish body covered in variable black spots; distinctive dark patch around the mouth and eyes.
Blacktip reef shark,"Pale grey-brown body with a white belly; distinct black tips on all fins, especially the first dorsal fin."
Bluering angelfish,Yellow-brown to orange body marked with curved blue lines; distinctive blue ring pattern behind the gill cover.
Blue triggerfish,Greyish-blue to purple body; lobes of dorsal and anal fins are elongated; wavy lines on the head.
Blueface angelfish,Yellow body with blue scales; distinctive blue face with a bright yellow mask; black spot on the rear dorsal fin.
Bluefin trevally,Brass or silvery body marked with blue and black spots; fins are electric blue.
Bluespotted ribbontail ray,Oval-shaped disc; yellowish-brown body covered in vibrant blue spots; distinct blue stripes on the tail.
Bowmouth guitarfish,"Shark-like ray with a broad, rounded head; distinct heavy ridges over the eyes; grey body with white spots."
Brownbanded bamboo shark,Slender body; juveniles have dark transverse bands; adults are light brown with faint saddles.
Checkerboard wrasse,Green body with a pattern of dark scale edges creating a checkerboard look; yellow spots on head.
Clark's anemonefish,Black or dark brown body with two or three wide white vertical bands; yellow tail and pectoral fins.
Clearfin lionfish,Reddish-brown vertical bars on white body; pectoral fins have clear membranes with dark spots.
Clown triggerfish,"Black body with large, distinct white spots on the lower half; yellow mouth area; yellow pattern on back."
Commerson's frogfish,"Globular, lumpy body; variable color (yellow, red, black, or cream); skin looks like sponge or rock."
Coral catshark,"Slender, elongated body; dark grey-brown with white spots and darker saddle-like markings."
Coral hind,Red to orange-red body covered in bright blue spots.
Crocodile snake eel,Pale body with dark spots forming bands; pointed snout; often buries tail in sand.
Dogtooth tuna,"Streamlined, torpedo-shaped body; dark blue-black back; silver sides; large, conical teeth visible."
Eastern triangle butterflyfish,White body with a chevron pattern; rear part of body and tail are black; yellow dorsal fin.
Eightband butterflyfish,White or cream body with eight distinct vertical black bands.
Emperor angelfish,Horizontal stripes of yellow and blue on body; black mask over the eyes; bright yellow tail.
False stonefish,"Lumpy, uneven skin often covered in algae-like growth; purple, brown, or grey camouflage mimicking a rock."
Fimbriated moray,Pale yellow-green body with irregular black spots and splotches; row of black spots along the dorsal fin.
Giant moray,"Large, thick eel; brown body covered in a pattern of black specks resembling leopard spots."
Giant trevally,"Large, powerful silvery-grey body; steep forehead; scutes on the tail base."
Great barracuda,"Long, cylindrical silver body; scattered irregular dark blotches on sides; massive lower jaw with teeth."
Green humphead parrotfish,Massive body; dark green to grey scales; prominent hump on the forehead (adults); beak-like mouth.
Greyface moray eel,Brownish body covered in fine dark speckles or lines; distinctive pale grey or white head.
Halfmoon triggerfish,Brown or greyish body; distinct yellow crescent-shaped border on the tail fin; yellow line on cheek.
Honeycomb grouper,Pale body covered in brown hexagonal spots forming a honeycomb pattern.
Humpback grouper,White body covered in black polka-dots; distinctive humpbacked profile and concave snout.
Humphead wrasse,Massive body; intricate green and blue doodle-like markings on face; prominent hump on forehead above eyes.
Humpnose unicorn,Grey to bluish body; distinctive horn-like bony projection on the forehead; blue spots.
Indian Ocean oriental sweetlips,White body with horizontal black stripes (adults) or chaotic pattern (juveniles); yellow fins with black spots.
Indian mackerel,Silvery body with greenish back; horizontal black lines or spots on upper sides; forked tail.
Indian vagabond butterflyfish,White body with pattern of lines; black bar through eye; black posterior body band.
Kuhl's maskray,Diamond-shaped disc; light brown with blue spots; dark mask-like band across the eyes.
Laced moray,"Pale body covered in a fine, dark honeycomb or netting pattern; spots extend to edge of fins."
