Fish Name, Thai Fish Name, Scientific Name, Order Name, General Description, Physical Description, habitat, Avg Length, Avg Age, Avg DepthLevel, Avg Weight
Brownbanded bamboo shark, ปลาฉลามกบ, Chiloscyllium punctatum, Orectolobiformes, "A small nocturnal shark found in Indo-West Pacific coral reefs and tide pools. Adults are brownish while juveniles display distinct dark bands. Classified as Near Threatened, commonly bred in aquariums due to docile nature.", "Concave posterior margined dorsal fin, barbels (whiskers), adults brownish with faint bands, juveniles with distinct dark transverse bands and spots, nocturnal behavior", "Coral reefs and tide pools in Indo-West Pacific from Japan to northern Australia", 104 cm, 25 years, 85 m, 2.5 kg
Whale shark, ปลาฉลามวาฬ, Rhincodon typus, Orectolobiformes, "The world's largest fish species, reaching up to 18.8m. A gentle filter-feeder that feeds on plankton and small fish in tropical oceans. Classified as Endangered, known for distinctive white spotted pattern on dark grey skin.", "Massive size with mouth at front of head containing 300+ rows of tiny teeth and 20 filter pads, dark grey skin with white spots and stripes unique to each individual, thick skin up to 15cm, three prominent ridges along sides", "Open waters of tropical and warm-temperate seas, primarily pelagic in coastal and oceanic habitats", 1200 cm, 100 years, 1900 m, 15000 kg
Zebra shark, ปลาฉลามลายเสือดาว, Stegostoma fasciatum, Orectolobiformes, "A distinctive carpet shark with dark spots on pale background in adults and vertical stripes in juveniles. Nocturnal bottom-dweller that feeds on molluscs and crustaceans. Classified as Endangered due to commercial fishing pressure.", "Cylindrical body with five longitudinal ridges, low caudal fin nearly half total length, juveniles have vertical yellow stripes on brown background, adults have dark spots on pale background, small barbels near nostrils", "Coral reefs and sandy flats in tropical Indo-Pacific from intertidal zone to 62m depth", 250 cm, 27 years, 62 m, 35 kg
Coral catshark, ปลาฉลามลายหินอ่อน, Atelomycterus marmoratus, Carcharhiniformes, "A small nocturnal catshark with extremely slender body inhabiting shallow coral reefs. Features distinctive black and white spotted pattern forming horizontal bars. Classified as Near Threatened due to fishing pressure and habitat degradation.", "Very slender cylindrical body, short narrow head, black and white spots on grayish background often forming horizontal dashes, white tips on dorsal fins, white stripe through gill slits, adult males have long thin claspers", "Shallow coral reefs in Indo-West Pacific from Pakistan to New Guinea at depths not exceeding 15m", 70 cm, 20 years, 15 m, 1.5 kg
Blacktip reef shark, ปลาฉลามครีบดำ, Carcharhinus melanopterus, Carcharhiniformes, "A fast-swimming requiem shark easily identified by prominent black tips on fins. Common in shallow tropical coral reefs across Indo-Pacific. Active predator with small home ranges and strong site fidelity. Classified as Near Threatened.", "Robustly built with streamlined form, short wide rounded snout, moderately large oval eyes, pale grayish-brown above and white below with obvious white band on sides, all fins have distinctive black tips with lighter borders", "Shallow inshore waters of tropical coral reefs in Indo-Pacific, typically only few meters deep with dorsal fin often exposed", 160 cm, 15 years, 75 m, 13.6 kg
Whitetip reef shark, ปลาฉลามครีบขาว, Triaenodon obesus, Carcharhiniformes, "A small requiem shark with distinctive white-tipped dorsal and caudal fins. Rests in caves during day and hunts at night. Highly localized with strong site fidelity. Classified as Near Threatened due to overfishing pressure.", "Slender body with short broad head, flattened blunt snout with tubular skin flaps beside nostrils, oval eyes with vertical pupils, grayish to brownish above and white below with scattered dark spots, bright white fin tips", "Coral reef habitats in Indo-Pacific, around coral heads and ledges with high vertical relief, clear water at 8-40m depth", 160 cm, 16 years, 40 m, 18.3 kg
Leopard shark, ปลาฉลามลายเสือดาว, Triakis semifasciata, Carcharhiniformes, "A houndshark found along Pacific coast of North America with distinctive black saddle-like markings and spots. Forms large schools in bays and estuaries. Active predator foraging on mudflats. Classified as Least Concern.", "Moderately stout body with short rounded snout, large oval eyes, unique coloration with prominent black saddles and large black spots on silvery to bronzy gray background, whitish underside", "Muddy or sandy flats in enclosed bays and estuaries along Pacific coast from Oregon to Mexico, most abundant intertidal to 4m depth", 135 cm, 30 years, 91 m, 18.4 kg
Spotted eagle ray, ปลากระเบนค้างคาว, Aetobatus narinari, Myliobatiformes, "A large cartilaginous ray with distinctive flat disk-shaped body and long whip-like tail. Features dark dorsal surface with white spots and venomous stingers. Known for spectacular leaping behavior. Classified as Near Threatened.", "Flat disk-shaped body with deep blue or black coloration and white spots on top, white underbelly, distinctive flat snout like duck's bill, long wing-like pectoral fins, tail longer than body with 2-6 venomous spines", "Shallow coastal waters by coral reefs and bays in tropical Atlantic Ocean, swimming freely in open waters often near surface", 500 cm, 25 years, 80 m, 230 kg
Manta ray, ปลากระเบนราหู, Manta birostris, Myliobatiformes, "The largest ray species with triangular pectoral fins and distinctive horn-shaped cephalic fins. Filter-feeder consuming zooplankton and deep-sea organisms. Known for breaching behavior and intelligence. Classified as Vulnerable to extinction.", "Broad head with triangular pectoral fins, horn-shaped cephalic fins on either side of mouth, horizontally flattened body, typically black or dark dorsally with pale shoulder markings, white or pale ventrally with distinctive dark markings", "Tropical and subtropical waters worldwide, pelagic species migrating across open oceans, surface waters during day and deeper at night", 700 cm, 50 years, 1000 m, 1350 kg
Kuhl's maskray, กระเบนจุดฟ้า, Neotrygon kuhlii, Myliobatiformes, "A distinctive stingray with rhomboidal body and bright coloration serving as warning for venomous spines. Dark green with blue spots and white underbelly. Popular in aquaria. Rarely buries in sand unlike most stingrays.", "Flat disc-like rhomboid body, dark green coloration with blue spots and light white underbelly, very short and broadly angular snout, bright yellow eyes, very long tail with two venomous spines, spiracles behind eyes", "Sand and mudflats, rocky coral reefs, and seagrass beds in tropical Indo-Pacific waters from Indonesia to Japan and northern Australia, depths 0-90m", 47 cm, 11 years, 90 m, 2 kg
